sample_index,sim_time_s,ego_x,ego_y,ego_speed_mps,obstacle_count,nearest_ttc_s,nearest_ttc_obstacle_id,nearest_ttc_reason,nearest_ttc_longitudinal_gap_m,nearest_ttc_lateral_gap_m,nearest_ttc_bumper_gap_m,nearest_ttc_bumper_gap_raw_m,nearest_ttc_closing_speed_mps,nearest_ttc_obstacle_x,nearest_ttc_obstacle_y,nearest_ttc_obstacle_v_mps,max_drac_mps2,min_pet_s,behavior_decision,fsm_state,blocking_obstacle_id,decision_reason,collision_count,last_collision_actor_type,cp_provider_source,native_opencda_available,native_opencda_required,cp_obstacle_count,lateral_offset_m,heading_error_rad,Cost_ref,Cost_LaneCenter,Cost_RoadBoundary,Cost_Repulsive,Cost_Control,road_boundary_sample_valid,road_boundary_lateral_offset_m,road_boundary_lane_width_m,road_boundary_ego_half_width_m,road_boundary_clearance_m,road_boundary_breach,road_boundary_breach_count,road_boundary_sample_count,road_boundary_breach_rate
24,9.125920089,-55.53818893432617,133.369873046875,0.0028687221265908986,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,297.5195224989392,90.18842600184779,0.0,3.371674619062253e-81,4618.206593372556,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298673723954429,False,0,25,0.0
25,9.175920089,-55.53818893432617,133.369873046875,0.0004583957586162525,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,295.74700831915607,90.29207311531073,0.0,3.384804700334514e-81,4518.863735216655,True,4.518954654919582e-16,3.499999999862702,1.07,0.529867372395448,False,0,26,0.0
26,9.22592009,-55.53818893432617,133.369873046875,0.0008519548390672984,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,294.03918058311075,90.27459637104435,0.0,3.3986103934366607e-81,4360.505817283235,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298673723968702,False,0,27,0.0
27,9.275920091,-55.53818130493164,133.369873046875,0.0008879142015486298,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,292.6711996333704,90.26724003557919,0.0,3.4123333304168894e-81,4258.184771307774,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674192811598,False,0,28,0.0
28,9.325920092,-55.53818130493164,133.369873046875,0.0007800834081383031,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,878.1576550829133,90.29867405718937,0.0,3.427053232384741e-81,7.668190285434835,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674192826881,False,0,29,0.0
29,9.375920092,-55.53818130493164,133.369873046875,0.0006298093567107964,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,876.9036856188175,90.32444995491383,0.0,3.441704555604196e-81,68.78710346648714,True,4.518954654919582e-16,3.4999999998626823,1.07,0.529867419284131,False,0,30,0.0
30,9.425920093,-55.53818130493164,133.369873046875,0.00048321717123204,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,875.8759520497669,90.34558619102519,0.0,3.4562707646338174e-81,67.07001206439116,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674192811931,False,0,31,0.0
31,9.475920094,-55.53818130493164,133.369873046875,0.00035784474418994026,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,875.0335611067956,90.3629179045476,0.0,3.4706570493756283e-81,66.07616530582503,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674192825695,False,0,32,0.0
32,9.525920095,-55.538177490234375,133.369873046875,0.000258698761989565,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,874.3430341882593,90.37693435389234,0.0,3.485000337996306e-81,65.48084738540292,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674427277067,False,0,33,0.0
33,9.575920095,-55.538177490234375,133.369873046875,0.00018289040019875893,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,873.7769626995952,90.38858817281178,0.0,3.499129220875932e-81,65.11917786527304,True,4.518954654919582e-16,3.499999999862693,1.07,0.5298674427276847,False,0,34,0.0
34,9.625920096,-55.538177490234375,133.369873046875,6.780075025004763e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,873.3128906585628,90.3981443039592,0.0,3.5131819603145486e-81,64.9809890598011,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298674427247853,False,0,35,0.0
